Time [ms], Yaw [rad], Pitch [rad], Roll [rad], Yaw velocity [rad/s], Pitch velocity [rad/s], Roll velocity [rad/s]
4257.66, 0.290543, 0.0354914, -0.0118398, -0.497433, 0.0117088, -0.0432466
4277.88, 0.279473, 0.0346631, -0.0116638, -0.527606, -0.011019, -0.0183283
4298.02, 0.270692, 0.019818, -0.0129738, -0.484535, -0.366825, -0.0412812
4318.25, 0.262673, 0.00976375, -0.0153412, -0.463971, -0.393853, -0.066975
4338.41, 0.245277, 0.00732612, -0.0163496, -0.678009, -0.226066, -0.0548494
4358.57, 0.228876, 0.0372762, -0.00873715, -0.950738, 0.687007, 0.176489
4378.75, 0.2108, 0.035969, -0.0116407, -0.717936, 0.222838, 0.0082563
4398.98, 0.19998, 0.0351566, -0.0126406, -0.669352, 0.206772, 0.0057722
4419.21, 0.186019, 0.0368694, -0.0132365, -0.682032, 0.143859, -0.00907154
4439.49, 0.174655, 0.0370525, -0.0135067, -0.626639, 0.0783137, -0.0112308
4459.67, 0.153635, 0.0348149, -0.0155708, -0.793672, -0.00250261, -0.0527396
4479.85, 0.134616, 0.035361, -0.0169441, -0.919071, 0.131786, -0.0327559
4500.06, 0.11657, 0.0328643, -0.0188113, -0.899221, -0.0266331, -0.0593994
4520.3, 0.106492, 0.0276627, -0.0197589, -0.666929, -0.169893, -0.0367362
4540.41, 0.101807, 0.0180502, -0.0210722, -0.487916, -0.335982, -0.0179708
4560.51, 0.0896091, 0.0181969, -0.0221359, -0.547258, -0.168928, -0.0351076
4580.61, 0.0671227, 0.0248665, -0.0275932, -0.852721, 0.106347, -0.175422
4600.74, 0.0489851, 0.0249093, -0.0244075, -0.887619, 0.0624795, -0.0209363
4620.88, 0.0394036, 0.0240802, -0.024542, -0.907614, 0.0212675, -0.0188126
4641.08, 0.0139723, 0.00998721, -0.0256517, -0.792981, -0.385462, -0.0464425
4661.2, -0.0148091, 0.02366, -0.0222119, -1.14146, 0.170008, 0.0622719
4681.36, -0.0166804, 0.00977471, -0.0242849, -0.587788, -0.309353, -0.0282971
4701.52, -0.0238336, 0.00858949, -0.0252263, -0.482548, -0.182178, -0.0339186
4721.67, -0.0455846, 0.0272452, -0.0196266, -0.615925, 0.295899, 0.0854178
4741.82, -0.0557201, 0.0265546, -0.0203002, -0.559732, 0.12193, 0.0281691
4762.01, -0.0552878, 0.0208645, -0.0192407, -0.388814, -0.0739296, 0.0502156
4782.17, -0.0831981, 0.026312, -0.0189302, -0.719205, 0.0377412, 0.030777
4802.29, -0.0846288, 0.0123066, -0.0190599, -0.555887, -0.369968, 0.0183755
4822.44, -0.105722, 0.011567, -0.0181396, -0.653738, -0.143946, 0.0198606
4842.65, -0.123116, 0.0259019, -0.0173619, -0.758803, 0.274852, 0.0291164
4862.83, -0.136498, 0.0223385, -0.0152593, -0.740924, 0.0382842, 0.074719
4883.02, -0.142946, 0.0392545, -0.0159476, -0.521134, 0.503621, 0.0189473
4903.15, -0.152599, 0.0373715, -0.0158237, -0.498799, 0.205167, 0.00754145
4923.39, -0.157369, 0.0365281, -0.0153372, -0.492619, 0.123101, 0.0191944
4943.61, -0.173743, 0.0246071, -0.0164141, -0.516508, -0.165326, -0.0136798
4963.84, -0.175971, 0.00752558, -0.0142389, -0.31938, -0.50046, 0.0458985
4984.06, -0.19218, 0.0235292, -0.0183111, -0.590749, 0.204781, -0.0878303
5004.23, -0.195642, 0.00967792, -0.0164935, -0.409027, -0.186672, -0.00908183
5024.5, -0.205688, 0.0111133, -0.0168769, -0.408248, -0.159301, 0.00323
5044.67, -0.213322, 0.00496079, -0.0166677, -0.391236, -0.241306, 0.00677743
5064.83, -0.224104, 0.00250157, -0.0165384, -0.462173, -0.176508, 0.00775265
5084.98, -0.246719, 0.0274395, -0.0283969, -0.800242, 0.470489, -0.281285
5105.15, -0.257312, 0.0268823, -0.0309317, -0.656392, 0.228131, -0.203606
5125.29, -0.267947, 0.0259744, -0.0307192, -0.595744, 0.0950397, -0.0993634
5145.5, -0.271786, 0.0258559, -0.0309173, -0.535696, 0.0647398, -0.0768136
5165.68, -0.277045, 0.018145, -0.0256496, -0.30679, -0.0124974, 0.0915104
5185.81, -0.284199, 0.00913738, -0.0272511, -0.4226, -0.264293, 0.0201732
5206.01, -0.308095, 0.0236074, -0.0321326, -0.646311, 0.147577, -0.0805375
5226.2, -0.320057, 0.0217379, -0.031274, -0.622987, 0.0289578, -0.0231409
5246.43, -0.327978, 0.0192384, -0.0310049, -0.511063, -0.0478314, -0.00413223
5266.66, -0.334415, 0.00426537, -0.0303618, -0.406256, -0.44596, 0.0189893
5286.8, -0.353723, 0.0270756, -0.026323, -0.68564, 0.401532, 0.0698757
5307.04, -0.356439, 0.0216526, -0.0273524, -0.568279, 0.133986, 0.0208877
5327.27, -0.367475, 0.00777933, -0.027272, -0.474467, -0.326285, 0.110017
5347.5, -0.376346, 0.00728558, -0.0276096, -0.459417, -0.179533, 0.0482724
5367.77, -0.386326, 0.00702461, -0.0279849, -0.525938, -0.0647818, 0.0578168
5387.92, -0.394852, -0.010998, -0.0232655, -0.477464, -0.471734, 0.144504
5408.01, -0.405111, 0.00497186, -0.0283256, -0.494612, 0.213908, -0.0623228
5428.14, -0.412088, -0.0140905, -0.0230722, -0.430857, -0.283385, 0.0818952
5448.29, -0.417354, -0.0156235, -0.0230416, -0.457997, -0.246512, 0.0595486
5468.49, -0.431188, -0.0170919, -0.0226221, -0.477326, -0.129689, 0.0348254
5488.65, -0.442309, -6.84969e-05, -0.0285285, -0.513979, 0.307263, -0.113816
5508.85, -0.455571, 0.00711419, -0.0361635, -0.586549, 0.332503, -0.244187
5529.08, -0.46041, 0.00828354, -0.0362145, -0.557456, 0.271396, -0.176414
5549.3, -0.468656, -0.0146049, -0.0223743, -0.336892, -0.562607, 0.338874
5569.46, -0.47926, 0.00933969, -0.0372705, -0.541982, 0.275629, -0.179446
5589.68, -0.495604, -0.017011, -0.027492, -0.589909, -0.453886, 0.103552
5609.84, -0.503514, -0.0076159, -0.0263756, -0.503734, -0.0406579, 0.0815206
5630, -0.513401, -0.00763165, -0.0261036, -0.497385, -0.0189188, 0.045841
5650.15, -0.520826, -0.0106095, -0.0192958, -0.441215, -0.0609182, 0.161821
5670.3, -0.529121, 0.00037165, -0.0155337, -0.423867, 0.205223, 0.157647
5690.52, -0.533714, -0.00379182, -0.0165236, -0.433908, 0.0290272, 0.0848991
5710.72, -0.547826, -0.00338414, -0.0157421, -0.396673, 0.123303, 0.13315
5730.91, -0.562442, 0.0138607, -0.0248581, -0.559248, 0.482859, -0.153423
5751.17, -0.573175, 0.0144276, -0.02585, -0.546294, 0.260664, -0.102652
5771.33, -0.59309, 0.0324354, -0.0404512, -0.765002, 0.571944, -0.407938
5791.5, -0.598006, 0.0189377, -0.0346698, -0.534952, 0.0180164, -0.0858263
5811.79, -0.607457, 0.0189154, -0.0340358, -0.524755, 0.00751941, -0.0430267
5831.94, -0.623762, 0.019185, -0.0341466, -0.532898, 0.0107436, -0.0203816
5852.05, -0.634477, 0.0179367, -0.0339518, -0.524533, -0.015285, -0.00441782
5872.15, -0.639793, 0.0179664, -0.0343033, -0.526539, -0.0101111, -0.0131311
5892.28, -0.666991, 0.0191528, -0.0407841, -0.829672, 0.0531532, -0.176592
5912.38, -0.677574, 0.0117075, -0.0333439, -0.715749, -0.139297, 0.0765826
5932.57, -0.687286, 0.0135248, -0.0368723, -0.788163, -0.0482939, -0.0451446
5952.77, -0.707682, 0.00853151, -0.0364519, -0.719705, -0.122979, -0.00774874
5973.01, -0.725642, 0.00392385, -0.0341849, -0.814386, -0.166518, 0.0340326
5993.12, -0.747013, 0.00230941, -0.0332099, -0.932956, -0.178385, 0.0778388
6013.33, -0.757223, 0.00184902, -0.0337284, -0.957922, -0.140869, 0.0410758
6033.51, -0.784499, 0.0014164, -0.032741, -0.921909, -0.0647034, 0.0375259
6053.77, -0.794601, 0.000954311, -0.0329292, -0.946935, -0.0594608, 0.0215523
6074, -0.824044, 0.00138056, -0.0340136, -0.968741, -0.0128931, -0.0149199
6094.19, -0.83889, 0.000689186, -0.034646, -0.857427, -0.0622124, -0.030237
6114.44, -0.842644, 0.002252, -0.0337299, -0.543385, 0.01285, -0.00648023
6134.59, -0.849874, 0.002376, -0.0360915, -0.5943, 0.0127222, -0.0715854
6154.75, -0.870126, 0.00239519, -0.036709, -0.658876, 0.00514691, -0.0420289
6174.91, -0.880833, 0.00191343, -0.0365116, -0.590205, -0.00825807, -0.0226578
6195.15, -0.891483, 0.00526422, -0.0367224, -0.567522, 0.0890822, -0.0190584
6215.33, -0.906869, 0.000587645, -0.0352344, -0.671528, -0.0882902, 0.0295329
6235.47, -0.92244, -0.00125068, -0.0352542, -0.721256, -0.0836749, 0.0159027
6255.66, -0.931638, -0.00324405, -0.0345096, -0.777535, -0.116462, 0.0325035
